汉语,英语,概率
受领,accreditee,1.0
西班牙文,adios,1.0
字母数字的,alphanumeric,1.0
采写,assignment,1.0
伯利兹,belize,1.0
领头羊,bellwether,1.0
出生地点,birthplace,1.0
电脑化,cyberspace,1.0
搬运费,cartage,1.0
小箱,casket,1.0
索赔人,claimee,1.0
封面女郎,covergirl,1.0
控制论,cybernetics,1.0
网络空间,cyberspace,1.0
截稿,deadline,1.0
姝,diabolique,1.0
运球,dribble,1.0
糟粕,dross,1.0
安乐死,euthanasia,1.0
免费软件,freeware,1.0
网关,gateway,1.0
创世,genesis,1.0
问候语,greeting,1.0
中缝,gutter,1.0
金属制品,hardware,1.0
易燃品,inflammable,1.0
资不抵债,insolvency,1.0
口译员,interpreter,1.0
坎儿井,karez,1.0
毫微秒,nanosecond,1.0
谋略,outmaneuver,1.0
资本额,overcapalisation,1.0
人浮于事,overstaff,1.0
投寄,post,1.0
左倾,pinko,1.0
有销路,popular,1.0
打印输出,printout,1.0
招股,prospectus,1.0
翻两番,quadruple,1.0
险别,risk,1.0
共享软件,shareware,1.0
花絮,sidebar,1.0
附加费,surcharge,1.0
制表机,tabulator,1.0
皮重,tare,1.0
水泥,cement,0.9969193023767784
土壤,soil,0.9968587405966927
服务器,server,0.9848152112075642
三个,three,0.9834343062644052
巴巴多斯,barbados,0.9800090717587424
黑色,black,0.9739471618719329
现代,modern,0.9693425151432533
冰糖,frosting,0.9664915648393221
新,new,0.9648099524931141
或,or,0.9647502008452077
旧,old,0.9604885689022923
小姐,miss,0.9603385218086747
及,and,0.9597601113018045
玻璃,glass,0.9563802087139813
两,two,0.9554690948080242
城镇,town,0.9544315815147185
它,it,0.9534971882262601
巴基斯坦,pakistan,0.9526954997172555
并且,and,0.9516666810751644
红色,red,0.9500139704290418
或者,or,0.9498301646898866
或有,or,0.9492598246745264
头发,hair,0.9489090717226721
鹿,deer,0.9452898715164316
英语,english,0.9450446189454416
喷洒,spraying,0.9447154303129384
她那,her,0.9439688965882829
碳,carbon,0.9424279462217392
钱,money,0.9388999412278328
食物,food,0.9377648303329518
三,three,0.9371578413459657
史密斯,smith,0.9360063683532094
鹌鹑,quail,0.934257074473968
数据,data,0.9338600703776355
