汉语,英语,概率
受领,accreditee,1.0
西班牙文,adios,1.0
字母数字的,alphanumeric,1.0
采写,assignment,1.0
伯利兹,belize,1.0
领头羊,bellwether,1.0
出生地点,birthplace,1.0
电脑化,cyberspace,1.0
搬运费,cartage,1.0
小箱,casket,1.0
索赔人,claimee,1.0
封面女郎,covergirl,1.0
控制论,cybernetics,1.0
网络空间,cyberspace,1.0
截稿,deadline,1.0
姝,diabolique,1.0
运球,dribble,1.0
糟粕,dross,1.0
安乐死,euthanasia,1.0
免费软件,freeware,1.0
网关,gateway,1.0
创世,genesis,1.0
问候语,greeting,1.0
中缝,gutter,1.0
金属制品,hardware,1.0
易燃品,inflammable,1.0
资不抵债,insolvency,1.0
口译员,interpreter,1.0
坎儿井,karez,1.0
毫微秒,nanosecond,1.0
谋略,outmaneuver,1.0
资本额,overcapalisation,1.0
人浮于事,overstaff,1.0
投寄,post,1.0
左倾,pinko,1.0
有销路,popular,1.0
打印输出,printout,1.0
招股,prospectus,1.0
翻两番,quadruple,1.0
险别,risk,1.0
共享软件,shareware,1.0
花絮,sidebar,1.0
附加费,surcharge,1.0
制表机,tabulator,1.0
皮重,tare,1.0
土壤,soil,0.9997132121733283
水泥,cement,0.9995895593395742
服务器,server,0.995782194268896
冰糖,frosting,0.9884380644299107
巴巴多斯,barbados,0.9860586416914883
喷洒,spraying,0.9843851679281161
三个,three,0.9837410790907172
或,or,0.98137852029749
现代,modern,0.979926091287835
及,and,0.9778712509305504
新,new,0.9773322179998408
黑色,black,0.9724456321864783
城镇,town,0.9714005489285701
巴基斯坦,pakistan,0.9690163976751286
鹌鹑,quail,0.9688605171753472
小姐,miss,0.9687564673797212
它,it,0.9684611595348297
或有,or,0.9658380781327229
旧,old,0.9653085006254155
并且,and,0.9648972266479613
两,two,0.964339044544105
玻璃,glass,0.9611120034267284
或者,or,0.9610418381529559
红色,red,0.9602296858806155
月经,menstrual,0.9585421757974028
头发,hair,0.9577359215421427
以及,and,0.9518594731247079
中古,middle,0.9497545932466251
碳,carbon,0.949076829027895
硝石,saltpeter,0.9488823779775315
英语,english,0.9482816352286968
钱,money,0.9478629469289898
她那,her,0.9471699441140977
